tanggal,ulasan,sentimen,ulasan_bersih
2025-08-03,Sangat efisien dan terorganisir dengan sangat baik.,Positif,sangat efisien organisir sangat baik
2025-08-03,Ada noda darah segar menetes di lantai dari pendonor sebelumnya dan dibiarkan lama tidak disterilkan. Ini sangat berbahaya untuk paparan penyakit menular!,Negatif,noda darah segar tetes lantai donor belum biar lama steril sangat bahaya papar sakit tular
2025-08-04,Dokter screening memberikan penjelasan yang sangat edukatif.,Positif,dokter screening beri jelas sangat edukatif
2025-08-04,Pelayanan prima! Terus tingkatkan kualitasnya PMI Cirebon.,Positif,layan prima terus tingkat kualitas pmi cirebon
2025-08-05,"Pengalaman donor tidak spesial, tetapi berjalan normal.",Netral,alam donor spesial jalan normal
2025-08-05,Cepat tanggap saat saya menanyakan informasi donor darah.,Positif,cepat tanggap saya tanya informasi donor darah
2025-08-06,Kebersihan sangat terjaga. Bed donor selalu dirapikan kembali.,Positif,bersih sangat jaga bed donor selalu rapi
2025-08-06,Sangat memuaskan. PMI Kota Cirebon memang luar biasa.,Positif,sangat muas pmi kota cirebon memang luar biasa
2025-08-07,Perawat sangat terampil mencari vena saya yang biasanya sulit.,Positif,awat sangat terampil cari vena yang biasa sulit
2025-08-07,Ruangan sejuk dan suasananya bikin rileks sebelum diambil darah.,Positif,ruang sejuk suasana bikin rileks ambil darah
2025-08-08,Hanya donor darah rutin. Tidak ada masalah berarti.,Netral,donor darah rutin ada masalah arti
2025-08-08,Petugas dengan sigap membantu saat saya merasa agak pusing.,Positif,tugas sigap bantu saya rasa pusing
2025-08-09,Proses cek tensi darah berjalan lancar sesuai urutan antrean.,Positif,proses cek tensi darah jalan lancar sesuai urut antre
2025-08-09,Sangat apresiasi keramahan satpam di depan yang sigap menyambut.,Positif,sangat apresiasi ramah satpam depan sigap sambut
2025-08-09,Antrean di loket administrasi terlalu lama dan menumpuk di pagi hari.,Negatif,antre loket administrasi terlalu lama tumpuk pagi hari
2025-08-10,Layanannya cepat banget tidak sampai setengah jam sudah beres.,Positif,layan cepat banget sampai tengah jam beres
2025-08-10,Snack dan minuman pasca donor sangat enak dan memulihkan tenaga.,Positif,snack minum pasca donor sangat enak pulih tenaga
2025-08-11,Standar operasional terpenuhi dengan baik dan memadai.,Netral,standar operasional penuh baik pada
2025-08-11,Sangat terkesan dengan fasilitas gedung yang rapi dan modern.,Positif,sangat kes fasilitas gedung rapi modern
2025-08-12,Alat-alat medis yang digunakan selalu ditunjukkan segelnya masih utuh.,Positif,alat alat medis guna selalu tunjuk segel utuh
2025-08-12,Sangat cepat daftar via mesin antrean mandiri sangat membantu.,Positif,sangat cepat daftar via mesin antre mandiri sangat bantu
2025-08-13,Rutin donor per 3 bulan selalu nyaman berdonor di tempat ini.,Positif,rutin donor per bulan selalu nyaman donor tempat
2025-08-13,Pelayanan di hari libur tetap maksimal dan petugasnya penuh semangat.,Positif,layan hari libur tetap maksimal tugas penuh semangat
2025-08-14,Fasilitas cukup dan pelayanan terasa lumayan.,Netral,fasilitas cukup layan asa lumayan
2025-08-14,Sangat menghargai pelayanan petugas hari ini. Mantap.,Positif,sangat harga layan tugas hari mantap
2025-08-15,Dokter sangat teliti memeriksa tekanan darah dan riwayat minum obat.,Positif,dokter sangat teliti periksa tekan darah riwayat minum obat
2025-08-15,Sangat informatif saat saya banyak tanya soal donor darah apheresis.,Positif,sangat informatif saya banyak tanya soal donor darah apheresis
2025-08-15,Sangat kecewa dengan petugas pendaftaran yang kurang senyum.,Negatif,sangat kecewa tugas daftar kurang senyum
2025-08-16,Ruang observasi nyaman sekali buat istirahat sebentar setelah donor.,Positif,ruang observasi nyaman sekali buat istirahat sebentar donor
2025-08-16,Pelayanan bagus tanpa kendala dari awal hingga akhir.,Positif,layan bagus kendala awal hingga akhir
2025-08-17,Semuanya wajar dan proses pendaftarannya terbilang mulus.,Netral,semua wajar proses daftar bilang mulus
2025-08-17,Selalu puas menghabiskan waktu berdonor di PMI Cirebon.,Positif,selalu puas habis waktu donor pmi cirebon
2025-08-18,Tenaga medisnya bekerja dengan sangat profesional dan higienis.,Positif,tenaga medis kerja sangat profesional higienis
2025-08-18,Petugas sangat menghargai para pendonor. Terima kasih atas dedikasinya.,Positif,tugas sangat harga donor terima kasih atas dedikasi
2025-08-19,Sangat mantap kebersihan toilet juga sangat diperhatikan oleh *cleaning service*.,Positif,sangat mantap bersih toilet sangat perhati cleaning service
2025-08-19,"Layanan PMI luar biasa, prosesnya cepat dan tertata.",Positif,layan pmi luar biasa proses cepat tata
2025-08-20,Donor berjalan lancar tidak ada hal yang istimewa hari ini.,Netral,donor jalan lancar ada yang istimewa hari
2025-08-20,Fasilitas gedung sangat mendukung kenyamanan pengunjung yang datang.,Positif,fasilitas gedung sangat dukung nyaman unjung datang
2025-08-21,Sangat cepat dan petugas lab-nya cekatan. Layanannya sungguh berkelas.,Positif,sangat cepat tugas lab nya cekat layan sungguh kelas
2025-08-21,Makanan ringan setelah donor sangat membantu pemulihan stamina.,Positif,makan ringan donor sangat bantu pulih stamina
2025-08-21,Sistem komputer error jadi harus antre manual yang lama.,Negatif,sistem komputer error jadi antre manual lama
2025-08-22,Petugas sangat responsif melayani pertanyaan dari pendonor baru.,Positif,tugas sangat responsif layan tanya donor baru
2025-08-22,Sangat merekomendasikan tempat ini bagi yang ingin mulai rutin berdonor.,Positif,sangat rekomendasi tempat bagi ingin mulai rutin donor
2025-08-23,Standar saja seperti kunjungan-kunjungan donor saya yang sudah-sudah.,Netral,standar seperti kunjung kunjung donor yang sudah
2025-08-23,Pelayanan memuaskan dan petugas perawatnya murah senyum semua.,Positif,layan muas tugas awat murah senyum semua
2025-08-24,Petugas sigap memberi air minum saat saya merasa kehausan paska donor.,Positif,tugas sigap beri air minum saya rasa haus paska donor
2025-08-24,Sangat terorganisir dengan rapi alurnya dari awal sampai akhir.,Positif,sangat organisir rapi alur awal akhir
2025-08-25,Penanganan paska donor sangat diperhatikan dengan baik oleh tenaga medis.,Positif,tangan paska donor sangat perhati baik tenaga medis
2025-08-25,Sangat salut dengan keramahan dan kecepatan petugas PMI Cirebon.,Positif,sangat salut ramah cepat tugas pmi cirebon
2025-08-26,Saya datang antre sebentar dan langsung dilayani. Biasa saja.,Netral,datang antre sebentar langsung layan biasa
2025-08-26,Sistem pemanggilan via layar digital besar sangat memudahkan kami.,Positif,sistem panggil via layar digital besar sangat mudah
2025-08-27,Daya tanggap satpam sangat baik dalam mengatur parkir motor yang padat.,Positif,daya tanggap satpam sangat baik atur parkir motor padat
2025-08-27,Sangat efisien prosesnya tidak membuang waktu libur saya sama sekali.,Positif,sangat efisien proses buang waktu libur sama sekali
2025-08-27,AC di ruang tunggu mati jadi pendonor kepanasan.,Negatif,ac ruang tunggu mati jadi donor panas
2025-08-28,Alat-alatnya sangat modern dan proses donornya dijaga kebersihannya.,Positif,alat alat sangat modern proses donor jaga bersih
2025-08-28,PMI Cirebon sukses selalu melayani masyarakat dengan prima dan tulus.,Positif,pmi cirebon sukses selalu layan masyarakat prima tulus
2025-08-29,Pelayanan berjalan standar tidak ada keluhan yang berarti.,Netral,layan jalan standar ada keluh arti
2025-08-29,Sangat edukatif banyak informasi gizi yang berguna di lobi.,Positif,sangat edukatif banyak informasi gizi guna lobi
2025-08-30,Semua proses berjalan lancar dan petugasnya sangat kooperatif.,Positif,semua proses jalan lancar tugas sangat kooperatif
2025-08-30,Penutupan bulan dengan layanan yang sangat luar biasa dari PMI.,Positif,tutup bulan layan sangat luar biasa pmi
2025-08-31,Fasilitasnya top dan kualitas layanannya memang teruji.,Positif,fasilitas top kualitas layan memang uji
2025-08-31,Layanannya sangat berkelas bersih dan terpercaya.,Positif,layan sangat kelas bersih percaya
2025-08-31,Sangat memuaskan antrean tertib dan kursi tunggunya banyak.,Positif,sangat muas antre tertib kursi tunggu banyak
2025-08-31,"Fasilitas top, petugas ramah, dan pelayanan memuaskan.",Positif,fasilitas top tugas ramah layan muas
2025-09-01,Pelayanan luar biasa cepat dan sangat efisien.,Positif,layan luar biasa cepat sangat efisien
2025-09-01,Ruangan nyaman bersih dan AC-nya pas.,Positif,ruang nyaman bersih ac nya pas
2025-09-02,Petugas sangat ramah dan murah senyum membuat pendonor tenang.,Positif,tugas sangat ramah murah senyum buat donor tenang
2025-09-02,Biasa saja rutin donor setiap tiga bulan.,Netral,biasa rutin donor tiga bulan
2025-09-03,Tidak ada kendala sama sekali semuanya mulus.,Positif,ada kendala sama sekali semua mulus
2025-09-03,Saya melihat jarum bekas pakai tertinggal di atas nampan bed donor. Ini kelalaian prosedur keamanan yang sangat berisiko!,Negatif,lihat jarum bekas pakai tinggal atas nampan bed donor lalai prosedur aman sangat risiko
2025-09-04,Layanan prima. Fasilitas sangat mendukung kenyamanan.,Positif,layan prima fasilitas sangat dukung nyaman
2025-09-04,Pelayanan juara dengan tenaga medis yang profesional.,Positif,layan juara tenaga medis profesional
2025-09-05,Sangat salut dengan keramahan petugas PMI Cirebon.,Positif,sangat salut ramah tugas pmi cirebon
2025-09-05,Kunjungan donor standar. Prosedur berjalan normal.,Netral,kunjung donor standar prosedur jalan normal
2025-09-06,Proses pengambilan darah sangat profesional tanpa rasa sakit.,Positif,proses ambil darah sangat profesional rasa sakit
2025-09-06,Nyaman sekali donor di tempat ini selalu memuaskan.,Positif,nyaman sekali donor tempat selalu muas
2025-09-07,Sangat responsif melayani kebutuhan pendonor.,Positif,sangat responsif layan butuh donor
2025-09-07,Petugas pendaftaran cekatan antrean jadi sangat lancar.,Positif,tugas daftar cekat antre jadi sangat lancar
2025-09-08,Selesai donor saya istirahat sebentar lalu pulang. Biasa saja.,Netral,selesai donor istirahat sebentar lalu pulang biasa
2025-09-08,Bed donor sangat bersih dan wanginya menenangkan.,Positif,bed donor sangat bersih wangi tenang
2025-09-09,Selalu puas donor di sini tidak pernah mengecewakan.,Positif,selalu puas donor sini pernah kecewa
2025-09-09,Terima kasih PMI Kota Cirebon atas layanan yang sangat baik ini.,Positif,terima kasih pmi kota cirebon atas layan sangat baik
2025-09-09,"Toilet bau dan kotor, pelayanan juga tidak profesional.",Negatif,toilet bau kotor layan tidak profesional
2025-09-10,Daya tanggap petugas luar biasa cepat.,Positif,daya tanggap tugas luar biasa cepat
2025-09-10,Sangat efisien tidak membuang waktu saya sama sekali.,Positif,sangat efisien buang waktu sama sekali
2025-09-11,Semua staf sangat membantu dan mengarahkan dengan sopan.,Positif,semua staf sangat bantu arah sopan
2025-09-11,Hari ini sepi pengunjung jadi proses sangat cepat selesai.,Netral,hari sepi unjung jadi proses sangat cepat selesai
2025-09-12,Menu snack sangat enak untuk memulihkan stamina.,Positif,menu snack sangat enak pulih stamina
2025-09-12,Sangat terorganisir dengan rapi dari awal sampai akhir.,Positif,sangat organisir rapi awal akhir
2025-09-13,Petugas dengan sigap membantu saat saya merasa pusing sedikit.,Positif,tugas sigap bantu saya rasa pusing sedikit
2025-09-13,Prosedur berjalan standar seperti biasa.,Netral,prosedur jalan standar biasa
2025-09-14,Sistem pemanggilan via layar digital sangat memudahkan pendonor.,Positif,sistem panggil via layar digital sangat mudah donor
2025-09-14,Sangat terkesan dengan efisiensi dan kecepatan layanannya.,Positif,sangat kes efisiensi cepat layan
2025-09-15,Kapas dan perban dipasang dengan sangat rapi dan darah langsung berhenti.,Positif,kapas perban pasang sangat rapi darah langsung henti
2025-09-15,Sangat mengapresiasi kebersihan toilet dan musala yang tersedia.,Positif,sangat apresiasi bersih toilet musala sedia
2025-09-15,TV di ruang tunggu suaranya mendengung dan mengganggu.,Negatif,tv ruang tunggu suara dengung ganggu
2025-09-16,Petugas handal sekali vena saya yang kecil bisa langsung ketemu.,Positif,tugas handal sekali vena yang kecil langsung ketemu
2025-09-16,Pengalaman donor darah yang menyenangkan. Akan terus donor di sini.,Positif,alam donor darah senang terus donor sini
2025-09-17,"Petugas sopan, komunikatif, dan bekerja dengan sangat baik.",Positif,tugas sopan komunikatif kerja sangat baik
2025-09-17,Pelayanan berjalan lancar tanpa kendala sistem.,Netral,layan jalan lancar kendala sistem
2025-09-18,Satpam sangat cepat tanggap memberikan arahan parkir.,Positif,satpam sangat cepat tanggap beri arah parkir
2025-09-18,Layanan prima dan petugas perawatnya murah senyum semua.,Positif,layan prima tugas awat murah senyum semua
2025-09-19,Alat-alatnya sangat modern dan proses donornya dijaga kebersihannya.,Positif,alat alat sangat modern proses donor jaga bersih
2025-09-19,PMI Cirebon sukses selalu melayani masyarakat dengan prima.,Positif,pmi cirebon sukses selalu layan masyarakat prima
2025-09-20,Sangat cepat daftar via mesin antrean mandiri.,Positif,sangat cepat daftar via mesin antre mandiri
2025-09-20,Biasa saja tidak ada yang spesial dari kunjungan hari ini.,Netral,biasa tidak yang spesial kunjung hari
2025-09-21,Perawat menenangkan saya yang baru pertama kali donor.,Positif,awat tenang yang baru pertama kali donor
2025-09-21,Sangat mantap kebersihan toilet juga sangat diperhatikan.,Positif,sangat mantap bersih toilet sangat perhati
2025-09-21,Parkiran motor sangat sempit dan susah keluar.,Negatif,parkir motor sangat sempit susah keluar
2025-09-22,"Pengalaman donor sangat baik, lancar, dan memuaskan.",Positif,alam donor sangat baik lancar muas
2025-09-22,Sangat cepat dan petugas lab-nya cekatan. Layanan berkelas.,Positif,sangat cepat tugas lab nya cekat layan kelas
2025-09-23,Petugas sangat responsif melayani pertanyaan dari pendonor.,Positif,tugas sangat responsif layan tanya donor
2025-09-23,Fasilitas cukup untuk mendukung donor rutin.,Netral,fasilitas cukup dukung donor rutin
2025-09-24,Kursi tunggunya cukup banyak jadi tidak capek berdiri.,Positif,kursi tunggu cukup banyak jadi capek diri
2025-09-24,Sangat merekomendasikan tempat ini bagi yang ingin mulai rutin berdonor.,Positif,sangat rekomendasi tempat bagi ingin mulai rutin donor
2025-09-25,Petugas sigap memberi air minum saat saya merasa kehausan.,Positif,tugas sigap beri air minum saya rasa haus
2025-09-25,Sangat terorganisir dengan rapi alurnya dari awal sampai akhir.,Positif,sangat organisir rapi alur awal akhir
2025-09-26,Penanganan paska donor sangat diperhatikan dengan baik.,Positif,tangan paska donor sangat perhati baik
2025-09-26,Pelayanan wajar dan standar seperti instansi publik lainnya.,Netral,layan wajar standar instansi publik lain
2025-09-27,Sangat salut dengan keramahan dan kecepatan petugas PMI.,Positif,sangat salut ramah cepat tugas pmi
2025-09-27,"Pengalaman positif, petugas profesional, dan alur cepat.",Positif,alam positif tugas profesional alur cepat
2025-09-27,Kondisi ruang tunggu kotor dan sangat mengecewakan.,Negatif,kondisi ruang tunggu kotor sangat kecewa
2025-09-28,Dokter jaga selalu standby dan sigap melayani konsultasi tensi.,Positif,dokter jaga selalu standby sigap layan konsultasi tensi
2025-09-28,Ruangan sangat bersih bebas dari debu dan lantainya mengkilap.,Positif,ruang sangat bersih bebas debu lantai kilap
2025-09-29,Standar saja seperti kunjungan-kunjungan donor saya yang sudah-sudah.,Netral,standar seperti kunjung kunjung donor yang sudah
2025-09-29,Pelayanannya cepat jadi saya bisa langsung kembali beraktivitas ke kantor.,Positif,layan cepat jadi bisa langsung aktivitas kantor
2025-09-30,Sangat mengapresiasi kinerja seluruh petugas PMI yang tak kenal lelah.,Positif,sangat apresiasi kerja seluruh tugas pmi tak kenal lelah
2025-09-30,Sangat terbantu dengan informasi stok darah di layar informasi.,Positif,sangat bantu informasi stok darah layar informasi
2025-09-30,Layanannya sangat berkelas dan profesional setara rumah sakit swasta.,Positif,layan sangat kelas profesional tara rumah sakit swasta
2025-08-15,Petugas dengan cekatan membantu saya mengisi formulir pendaftaran.,Positif,tugas cekat bantu isi formulir daftar
2025-09-20,Fasilitas ruang tunggu sangat bersih dan nyaman untuk istirahat.,Positif,fasilitas ruang tunggu sangat bersih nyaman istirahat
2025-10-01,Layanan PMI Kota Cirebon selalu memuaskan dan cepat.,Positif,layan pmi kota cirebon selalu muas cepat
2025-10-01,Petugas medis sangat cekatan dan profesional dalam bekerja.,Positif,tugas medis sangat cekat profesional kerja
2025-10-01,Petugas hampir salah menempelkan stiker golongan darah di tabung sampel uji saya. Untung saya menegur duluan. Verifikasi identitas medis harus berlapis!,Negatif,tugas hampir salah tempel stiker golong darah tabung sampel uji untung tegur duluan verifikasi identitas medis lap
2025-10-02,Pengalaman biasa saja dengan fasilitas yang cukup.,Netral,alam biasa dengan fasilitas cukup
2025-10-02,Fasilitas gedung sangat sejuk dan bersih.,Positif,fasilitas gedung sangat sejuk bersih
2025-10-03,Jarum masuk tanpa terasa sakit sama sekali hebat!,Positif,jarum masuk asa sakit sama sekali hebat
2025-10-03,Antrean di loket administrasi sangat berantakan hari ini karena banyak rombongan.,Negatif,antre loket administrasi sangat beranta hari karena banyak rombong
2025-10-04,Datang untuk donor darah proses berjalan standar.,Netral,datang donor darah proses jalan standar
2025-10-04,Petugas sangat ramah dan sabar melayani pendonor yang phobia jarum.,Positif,tugas sangat ramah sabar layan donor phobia jarum
2025-10-05,Ruang tunggu sangat nyaman dan banyak kursi kosong.,Positif,ruang tunggu sangat nyaman banyak kursi kosong
2025-10-05,Dokter screening memberikan penjelasan kesehatan yang sangat bermanfaat.,Positif,dokter screening beri jelas sehat sangat manfaat
2025-10-06,Sangat efisien tidak butuh waktu lama untuk selesai donor.,Positif,sangat efisien butuh waktu lama selesai donor
2025-10-06,Prosedur berjalan normal tidak ada kendala berarti.,Netral,prosedur jalan normal ada kendala arti
2025-10-07,Petugas kasar saat menerima keluhan dan tidak memberi solusi.,Negatif,tugas kasar terima keluh tidak beri solusi
2025-10-07,Selalu senang berdonor di sini karena layanannya juara.,Positif,selalu senang donor sini layan juara
2025-10-08,Sangat apresiasi kebersihan area bed donor yang selalu disterilkan.,Positif,sangat apresiasi bersih area bed donor selalu steril
2025-10-08,Petugas dengan sigap membantu mengambilkan air minum setelah saya donor.,Positif,tugas sigap bantu ambil air minum saya donor
2025-10-09,Fasilitas keren dan suasana PMI terasa nyaman.,Positif,fasilitas keren suasana pmi asa nyaman
2025-10-09,Rutinitas donor tiga bulanan berjalan dengan lancar.,Netral,rutinitas donor tiga bulan jalan lancar
2025-10-10,Saya melihat perawat tidak mengganti sarung tangan setelah membuang limbah infeksius lalu langsung menangani pendonor baru. Ini pelanggaran berat dan sangat berbahaya!,Negatif,lihat awat ganti sarung tangan buang limbah infeksius lalu langsung tangan donor baru langgar berat sangat bahaya
2025-10-10,Pelayanan petugas lab sangat cepat dan hasilnya memuaskan.,Positif,layan tugas lab sangat cepat hasil muas
2025-10-11,Suasana ruangan tenang dan tidak berisik bikin rileks.,Positif,suasana ruang tenang tidak berisik bikin rileks
2025-10-11,Sangat responsif menjawab semua pertanyaan pendonor baru.,Positif,sangat responsif jawab semua tanya donor baru
2025-10-12,Cukup standar sama seperti pelayanan publik lainnya.,Netral,cukup standar sama layan publik lain
2025-10-12,Satpam di depan sangat ramah mengarahkan parkir dan pintu masuk.,Positif,satpam depan sangat ramah arah parkir pintu masuk
2025-10-13,Alat yang digunakan selalu ditunjukkan masih tersegel baru.,Positif,alat guna selalu tunjuk segel baru
2025-10-13,Saya kecewa dengan pelayanan yang tidak profesional.,Negatif,kecewa layan tidak profesional
2025-10-14,Sistem komputerisasi membuat pendaftaran sangat cepat.,Positif,sistem komputerisasi buat daftar sangat cepat
2025-10-14,Sangat salut dengan dedikasi para petugas kesehatan di sini.,Positif,sangat salut dedikasi tugas sehat sini
2025-10-15,Semuanya biasa saja berjalan sesuai antrean.,Netral,semua biasa jalan sesuai antre
2025-10-15,Penanganan pasca donor sangat diperhatikan dengan detail.,Positif,tangan pasca donor sangat perhati detail
2025-10-16,Sangat merekomendasikan PMI Cirebon untuk pengalaman berdonor yang aman.,Positif,sangat rekomendasi pmi cirebon alam donor aman
2025-10-16,Pelayanan 24 jam sangat membantu warga yang sibuk bekerja di siang hari.,Positif,layan jam sangat bantu warga sibuk kerja siang hari
2025-10-17,Mantap pelayanannya sangat prima dan memanjakan pengunjung.,Positif,mantap layan sangat prima manja unjung
2025-10-17,"Petugas sombong, lambat, dan tidak profesional.",Negatif,tugas sombong lambat tidak profesional
2025-10-18,Proses cek tekanan darah dilakukan dengan alat modern yang akurat.,Positif,proses cek tekan darah laku alat modern akurat
2025-10-18,Hanya mampir untuk donor. Pelayanan memadai.,Netral,mampir donor layan pada
2025-10-19,Sangat efisien dari daftar sampai ruang pemulihan.,Positif,sangat efisien daftar ruang pulih
2025-10-19,Terima kasih atas keramahan seluruh staf yang bertugas hari ini.,Positif,terima kasih atas ramah seluruh staf tugas hari
2025-10-20,Vena saya yang kecil bisa langsung ditemukan oleh perawat senior. Hebat.,Positif,vena yang kecil langsung temu awat senior hebat
2025-10-20,Toilet dan musala sangat bersih terawat dengan baik.,Positif,toilet musala sangat bersih awat baik
2025-10-21,Prosedur berjalan sesuai aturan baku UDD.,Netral,prosedur jalan sesuai atur baku udd
2025-10-21,Sangat terbantu dengan panduan alur donor yang tertempel di dinding.,Positif,sangat bantu pandu alur donor tempel dinding
2025-10-22,Pelayanan lambat padahal antrean sudah menunggu sejak pagi.,Negatif,layan lambat padahal antre tunggu sejak pagi
2025-10-22,Sangat terorganisir antreannya tidak membingungkan sama sekali.,Positif,sangat organisir antre bingung sama sekali
2025-10-23,Perawat sangat sopan dan meminta izin sebelum melakukan tindakan medis.,Positif,awat sangat sopan minta izin laku tindak medis
2025-10-23,Ruangan observasi sangat nyaman dilengkapi televisi.,Positif,ruang observasi sangat nyaman lengkap televisi
2025-10-24,"Pelayanan luar biasa, tertib, cepat, dan profesional.",Positif,layan luar biasa tertib cepat profesional
2025-10-24,Selesai donor tepat waktu tidak ada yang spesial.,Netral,selesai donor tepat waktu ada spesial
2025-10-25,Petugas cepat tanggap menangani pendonor yang pucat setelah donor.,Positif,tugas cepat tanggap tangan donor pucat donor
2025-10-25,Kapas dan plester ditutup dengan sangat rapi.,Positif,kapas plester tutup sangat rapi
2025-10-26,Sangat puas mendonorkan darah secara rutin di tempat ini.,Positif,sangat puas donor darah rutin tempat
2025-10-26,Suara panggilan antrean sangat kecil dan tidak jelas terdengar.,Negatif,suara panggil antre sangat kecil tidak jelas dengar
2025-10-27,Sangat mudah proses pendaftarannya apalagi sekarang pakai mesin.,Positif,sangat mudah proses daftar sekarang pakai mesin
2025-10-27,"Tidak ada perubahan, proses berjalan standar.",Netral,ada ubah proses jalan standar
2025-10-28,Dokter jaga selalu standby dan sigap melayani konsultasi tensi.,Positif,dokter jaga selalu standby sigap layan konsultasi tensi
2025-10-28,Ruangan sangat bersih bebas dari debu dan kotoran.,Positif,ruang sangat bersih bebas debu kotor
2025-10-28,Pelayanannya cepat jadi saya bisa langsung kembali ke kantor.,Positif,layan cepat jadi bisa langsung ke kantor
2025-10-29,Sangat mengapresiasi kinerja seluruh petugas PMI yang ramah.,Positif,sangat apresiasi kerja seluruh tugas pmi ramah
2025-10-29,Proses donor berjalan normal seperti biasa.,Netral,proses donor jalan normal biasa
2025-10-29,Sangat edukatif banyak banner informasi kesehatan di ruang tunggu.,Positif,sangat edukatif banyak banner informasi sehat ruang tunggu
2025-10-30,Dokter kurang ramah saat menjawab pertanyaan seputar efek samping donor.,Negatif,dokter kurang ramah jawab tanya putar efek samping donor
2025-10-30,Layanannya sangat berkelas dan profesional tingkat tinggi.,Positif,layan sangat kelas profesional tingkat tinggi
2025-10-30,Sangat terbantu dengan informasi stok darah di layar informasi.,Positif,sangat bantu informasi stok darah layar informasi
2025-10-31,Saya merasa sangat dihargai sebagai pendonor oleh petugas.,Positif,rasa sangat harga donor tugas
2025-10-31,Kunjungan yang lancar tanpa ada hambatan operasional.,Netral,kunjung lancar ada hambat operasional
2025-10-31,Fasilitas lengkap dan prosedur kebersihan selalu dijaga ketat.,Positif,fasilitas lengkap prosedur bersih selalu jaga ketat
2025-10-31,Antrean tertib dan kursi ruang tunggunya sangat memadai.,Positif,antre tertib kursi ruang tunggu sangat pada
2025-10-31,Pengalaman donor yang berkesan. Akan mengajak teman-teman ke sini.,Positif,alam donor kesan ajak teman teman sini
2025-11-01,Pelayanan di PMI Kota Cirebon sangat memuaskan dan cepat.,Positif,layan pmi kota cirebon sangat muas cepat
2025-11-01,Petugas medis sangat cekatan dan profesional dalam mencari pembuluh darah.,Positif,tugas medis sangat cekat profesional cari buluh darah
2025-11-01,"Pelayanan tidak profesional, antrean panjang, dan informasi tidak jelas.",Negatif,layan profesional antre panjang informasi jelas
2025-11-02,Kunjungan donor rutin. Pelayanan berjalan wajar seperti biasa.,Netral,kunjung donor rutin layan jalan wajar biasa
2025-11-02,Fasilitas gedung sangat nyaman dan bersih membuat pendonor betah.,Positif,fasilitas gedung sangat nyaman bersih buat donor betah
2025-11-03,Pengambilan darah berjalan lancar dan sangat steril.,Positif,ambil darah jalan lancar sangat steril
2025-11-03,Antrean menumpuk parah saat jam makan siang karena petugas istirahat bergantian terlalu lama.,Negatif,antre tumpuk parah jam makan siang tugas istirahat ganti terlalu lama
2025-11-03,Jarum masuk tanpa terasa sakit sama sekali sangat luar biasa!,Positif,jarum masuk asa sakit sama sekali sangat luar biasa
2025-11-04,Pelayanan biasa saja seperti pengalaman sebelumnya.,Netral,layan biasa seperti alam belum
2025-11-04,Petugas sangat ramah dan sabar melayani pendonor pemula.,Positif,tugas sangat ramah sabar layan donor mula
2025-11-05,Ruang tunggu sangat nyaman dan banyak kursi kosong untuk istirahat.,Positif,ruang tunggu sangat nyaman banyak kursi kosong istirahat
2025-11-05,Dokter screening memberikan penjelasan kesehatan yang sangat mendetail.,Positif,dokter screening beri jelas sehat sangat detail
2025-11-05,Proses cepat dengan fasilitas keren dan layanan profesional.,Positif,proses cepat fasilitas keren layan profesional
2025-11-06,Prosedur berjalan normal tidak ada kendala berarti hari ini.,Netral,prosedur jalan normal ada kendala arti hari
2025-11-06,Selalu senang berdonor di sini karena pelayanannya ramah senyum.,Positif,selalu senang donor sini layan ramah senyum
2025-11-07,Fasilitas jelek dan ruang pelayanan terasa sangat kotor.,Negatif,fasilitas jelek ruang layan asa sangat kotor
2025-11-07,Sangat apresiasi kebersihan area bed donor yang selalu disterilkan ulang.,Positif,sangat apresiasi bersih area bed donor selalu steril ulang
2025-11-08,Petugas dengan sigap membantu mengambilkan air minum setelah saya donor.,Positif,tugas sigap bantu ambil air minum saya donor
2025-11-08,Bingkisan snack sangat memulihkan tenaga sehabis diambil darah.,Positif,bingkis snack sangat pulih tenaga habis ambil darah
2025-11-08,Sangat responsif menjawab semua pertanyaan pendonor dengan sopan.,Positif,sangat responsif jawab semua tanya donor sopan
2025-11-09,Pelayanan wajar dan waktu tunggunya biasa saja.,Netral,layan wajar waktu tunggu biasa
2025-11-09,Pelayanan petugas lab sangat cepat dan hasilnya memuaskan.,Positif,layan tugas lab sangat cepat hasil muas
2025-11-10,Suasana ruangan tenang dan tidak berisik bikin rileks.,Positif,suasana ruang tenang tidak berisik bikin rileks
2025-11-10,Petugas memberikan kartu golongan darah yang salah kepada saya tertukar dengan pendonor lain di meja administrasi. Sangat fatal jika terjadi pada kondisi darurat!,Negatif,tugas beri kartu golong darah salah saya tukar donor di meja administrasi sangat fatal jadi kondisi darurat
2025-11-10,Alat yang digunakan selalu ditunjukkan masih tersegel rapi di depan mata.,Positif,alat guna selalu tunjuk segel rapi depan mata
2025-11-11,Sistem komputerisasi membuat pendaftaran jadi sangat singkat.,Positif,sistem komputerisasi buat daftar jadi sangat singkat
2025-11-11,Sangat salut dengan dedikasi para petugas kesehatan di PMI Cirebon.,Positif,sangat salut dedikasi tugas sehat pmi cirebon
2025-11-12,Semuanya biasa saja berjalan sesuai nomor antrean pendaftaran.,Netral,semua biasa jalan sesuai nomor antre daftar
2025-11-12,Penanganan pasca donor sangat diperhatikan dengan detail oleh perawat.,Positif,tangan pasca donor sangat perhati detail awat
